t_day,cake_solids_pct,target_pct,wet_cake_m3d,filtrate_m3d,filtrate_tss,dry_solids_kgd,overflow_tss,thickened_pct,track
33.07291667,28.00000000,28.00000000,13.59403403,41.89181916,1854.30463576,3806.32952930,240.55266014,7.00000000,degraded
33.08333333,28.00000000,28.00000000,13.59122788,41.88317162,1854.30463576,3805.54380581,240.49464450,7.00000000,degraded
33.09375000,28.00000000,28.00000000,13.58636335,41.86818093,1854.30463576,3804.18173766,240.39408273,7.00000000,degraded
33.10416667,28.00000000,28.00000000,13.57953567,41.84714053,1854.30463576,3802.26998692,240.25295821,7.00000000,degraded
33.11458333,28.00000000,28.00000000,13.57096808,41.82073837,1854.30463576,3799.87106240,240.07590452,7.00000000,degraded
33.12500000,28.00000000,28.00000000,13.56096536,41.78991365,1854.30463576,3797.07030009,239.86924055,7.00000000,degraded
33.13541667,28.00000000,28.00000000,13.54988984,41.75578298,1854.30463576,3793.96915537,239.64047153,7.00000000,degraded
33.14583333,28.00000000,28.00000000,13.53813446,41.71955723,1854.30463576,3790.67765012,239.39772838,7.00000000,degraded
33.15625000,28.00000000,28.00000000,13.52608143,41.68241421,1854.30463576,3787.30280109,239.14891211,7.00000000,degraded
33.16666667,28.00000000,28.00000000,13.51406967,41.64539837,1854.30463576,3783.93950720,238.90102160,7.00000000,degraded
33.17708333,28.00000000,28.00000000,13.50237336,41.60935465,1854.30463576,3780.66454183,238.65971211,7.00000000,degraded
33.18750000,28.00000000,28.00000000,13.49119036,41.57489276,1854.30463576,3777.53330206,238.42905808,7.00000000,degraded
33.19791667,28.00000000,28.00000000,13.48064255,41.54238828,1854.30463576,3774.57991512,238.21156355,7.00000000,degraded
33.20833333,28.00000000,28.00000000,13.47078621,41.51201465,1854.30463576,3771.82013865,238.00837825,7.00000000,degraded
33.21875000,28.00000000,28.00000000,13.46162791,41.48379212,1854.30463576,3769.25581407,237.81962727,7.00000000,degraded
33.22916667,28.00000000,28.00000000,13.45313585,41.45762271,1854.30463576,3766.87803731,237.64464561,7.00000000,degraded
